,Name,Price,Brand,Review counts,Review score,Product status,Company name,Link,RAM,RAM Type,Ratio RAM/€
351,"T470 i5-6300U - 8GB - 256GB-NVMe - 14""FHD - W10P COA",300.31,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2363504-4087-lenovo-t470-i5-6300u-8gb-256gb-nvme-14-fhd-w10p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.02663913955579235
352,"T470 i5-6300U - 8GB - 256GB-NVMe - 14""HD - W10P COA",299.64,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2363442-4079-lenovo-t470-i5-6300u-8gb-256gb-nvme-14-hd-w10p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.02669870511280203
353,"T470 i5-6300U - 8GB - 256GB-NVMe - 14""FHD - W10P COA",324.96,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2363406-4071-lenovo-t470-i5-6300u-8gb-256gb-nvme-14-fhd-w10p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.024618414574101428
354,"Latitude E5580 i5-6440HQ - 16GB - 256GB-SSD - 15.6""FHD - COA",471.13,DELL,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2363322-4062-dell-latitude-e5580-i5-6440hq-16gb-256gb-ssd-156-fhd-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,16,RAM2,0.03396090251098423
355,"EliteBook 840 G1 i5-4300U - 8GB - 320GB - 14""HD+ - W8P COA",207.98,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2363305-4058-hp-elitebook-840-g1-i5-4300u-8gb-320gb-14-hd-w8p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.03846523704202327
356,"EliteBook 840 G1 i5-4310U - 8GB - 240GB-SSD - 14""HD+ - W7P COA",258.0,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2363297-4055-hp-elitebook-840-g1-i5-4310u-8gb-240gb-ssd-14-hd-w7p-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.031007751937984496
357,"Latitude E5540 i5-4310U - 8GB - 120GB-SSD - DVDRW - 15.6""HD - COA",299.19,DELL,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2363232-4039-dell-latitude-e5540-i5-4310u-8gb-120gb-ssd-dvdrw-156-hd-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.02673886159296768
358,"Latitude 5290 i5-8250U - 8GB - 128GB-SSD - 12.5""HD - W10P CMAR",346.08,DELL,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2362688-3966-dell-dell-2in1-5290-i5-8250u-8gb-128gb-ssd-125-hd-w10p-cmar-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.023116042533518264
359,"T560 i7-6600U - 8GB - 256GB-SSD - 15.6""FHD - W10P CMAR",460.08,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2362673-3960-lenovo-t560-i7-6600u-8gb-256gb-ssd-156-fhd-w10p-cmar-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.01738828029907842
360,"820 G3 i5-6200U - 8GB - 256GB-SSD - 12.5""FHD - No COA",272.34,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2362656-3958-hp-820-g3-i5-6200u-8gb-256gb-ssd-125-fhd-no-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.02937504589850922
361,"640 G1 i5-4200M - 8GB - 256GB-SSD - RW - 14""HD+ - W10P CMAR",242.04,HP,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2362619-3956-hp-640-g1-i5-4200m-8gb-256gb-ssd-rw-14-hd-w10p-cmar-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.03305238803503553
362,"ThinkPad X1 Carbon 5th i5-6300U - 8GB - 256GB-NVMe - 14""FHD - COA",543.14,LENOVO,0,0.0,Refurbished,Segunda Mano PC,https://www.segundamanopc.com/es/portatiles/2362370-3909-lenovo-thinkpad-x1-carbon-5th-i5-6300u-8gb-256gb-nvme-14-fhd-coa-reacondicionado-grado-a.html#/2-grado-reacondicionado_grado_a,8,RAM1,0.014729167433810805
